ID,Media,Latitude,Longitude,COMMUNE,Site_web,Support historique,logo,Annee_creation,Aire_couverture,EPCI_couverts,Thematique_principale,Groupe
895,Le petit Bulletin (Lyon),45.766394,4.836902,Lyon,https://www.petit-bulletin.fr,Presse,,1997,Lyon métropole,,"Culture, Loisirs",Groupe UNAGI
896,Le petit Bulletin (Saint-Etienne),45.440109,4.385771,Saint-Etienne,https://www.petit-bulletin.fr,Presse,,2012,Saint-Etienne,,"Culture, Loisirs",Groupe UNAGI
897,Lyon People,45.7559,4.8323,Lyon,https://www.lyonpeople.com,Presse,,,Lyon,,People,
898,Paris Lights Up,48.8589,2.3469,Paris,https://parislightsup.com/,Presse,,,Est parisien,,"Culture, Loisirs",
899,Sorties de Secours,47.733097,-3.364176,Lorient,https://www.sortiesdesecours.com,Presse,,,Morbihan,,"Culture, Loisirs",
900,Sortir (Bordeaux),44.835663,-0.577717,Bordeaux,https://nouvelleaquitaine.sortir.eu/,Presse,,2007,Bordeaux,,"Culture, Loisirs",
901,Sortir (Lille),50.630027,3.035368,Lille,https://hautsdefrance.sortir.eu/,Presse,,1989,Lille,,"Culture, Loisirs",
902,Sortir (Lyon),45.7579,4.8373,Lyon,https://auvergnerhonealpes.sortir.eu/,Presse,,2007,Lyon,,"Culture, Loisirs",
903,Sortir (Marseille),43.2814,5.3806,Marseille,https://paca.sortir.eu/,Presse,,2006,Marseille,,"Culture, Loisirs",
904,Sortir (Nantes),47.215354,-1.558456,Nantes,https://paysdeloire.sortir.eu/,Presse,,2008,Nantes,,"Culture, Loisirs",
905,Sortir (Toulouse),43.60896,1.459101,Toulouse,https://occitanie.sortir.eu/,Presse,,2005,Toulouse,,"Culture, Loisirs",
906,Spot (Grenoble),45.185052,5.705646,Grenoble,http://www.spot-web.fr/grenoble/,Presse,,,Grenoble,,"Culture, Loisirs",Groupe UNAGI
908,Wik (Nantes),47.212287,-1.550217,Nantes,https://www.wik-nantes.fr/,Presse,,,Nantes métropole + Saint-Nazaire,,"Culture, Loisirs",
909,Wik (Rennes),47.211076,-1.549454,Nantes,https://www.wik-rennes.fr/,Presse,,,Rennes Métropole,,"Culture, Loisirs",
910,D'ICI,48.655975,-2.840161,Saint-Quay-Portrieux,https://www.dicimag.com/,Presse,,2017,Bretagne,,Informations générales,
911,L'Agglorieuse,43.610004,3.879021,Montpellier,https://www.lagglorieuse.info/,Presse,,,"Montpellier, Toulouse, Aude, Aveyron, Lozère",,,
912,La Tribune Hebdo d'Orléans,47.847522,1.916194,Olivet,https://www.tribune-hebdo-orleans.fr,Presse,,,Agglo d'Orléans,,,
913,La Tribune Hebdo de Tours,47.847522,1.916194,Olivet,https://www.tribune-hebdo-tours.fr/,Presse,,,Agglo de Tours,,,
914,Le 7 (7 à Poitiers),46.65964,0.360294,Chasseneuil-du-Poitou,https://www.7apoitiers.fr/,Presse,,,Vienne,,informations générales,
915,Le Peuple Breton,48.515406,-2.774578,Saint-Brieuc,https://lepeuplebreton.bzh,Presse,,1964,Bretagne,,Info militante,
916,Reynerie Miroir,43.571587,1.40193,Toulouse,https://reyneriemiroir.jimdo.com/,Presse,,,"Quartier de la Reynerie, à Toulouse",,,
917,Le Courrier de Gironde,44.876045,-0.559442,Bordeaux,https://www.courrierdegironde.fr/,Presse,,,,,Informations générales,Groupe PMSO
918,le Messager,46.36914,6.474571,Thonon-les-Bains,https://www.lemessager.fr/,Presse,,,,,,
919,Prun'FM,47.220631,-1.557295,Nantes,https://www.prun.net/,Radio,,,,,,
920,Radio Grenouille,43.309625,5.390326,Marseille,https://www.radiogrenouille.com,Radio,,,,,,
921,Radio MNE,47.748655,7.317375,Mulhouse,https://radiomne.com/,Radio,,,,,,
922,100% Radio,43.509299,2.369789,Aussillon,https://www.centpourcent.com/,Radio,,2000,Midi-Pyrénées et Languedoc-Roussillon,,Informations générales,Groupe 100%
923,47 FM,44.202482,0.618546,Agen,https://www.47fm.net/,Radio,,2007,,,Informations générales,Mediameeting
924,Activ Radio,45.43956,4.384041,Saint-Étienne,https://www.activradio.com/,Radio,,,Saint-Etienne / Roanne,,Informations générales,
925,Alouette,46.873498,-1.025711,Les Herbiers,https://www.alouette.fr/,Radio,,,"Grand ouest (Loire-Atlantique, Maine-et-Loire, Charente, Creuse, Deux-Sèvres, Vendée, Sarthe, Mayenne, Loire-Atlantique, Indre, Vienne, Indre-et-Loire, Maine-et-Loire, Charente, Vendée, Creuse, Charente-Maritime, Maine-et-Loire, Deux-Sèvres, Indre-et-Loire, Morbihan)",,Informations générales,
926,Alpes 1,44.562124,6.090591,Gap,https://www.alpes1.fr/,Radio,,,"départements 04, 05, 26, 38",,Informations générales,Espace Group
927,Alta Frequenza,41.918019,8.727086,Ajaccio,https://www.alta-frequenza.corsica/,Radio,,1981,Corse,,Informations générales,
928,ARL (Aquitaine Radio Live),44.554811,-0.245068,Langon,https://www.arlfm.com/,Radio,,,Bordeaux métrop,,Informations générales,
929,B.95 (Radio Bergerac),44.850599,0.480889,Bergerac,https://www.bergerac95.fr/,Radio,,,Bergerac,,Informations générales,
930,Canal FM,50.204182,3.82589,Aulnoye-Aymeries,https://www.canalfm.fr,Radio,,,SAMBRE AVESNOIS THIÉRACHE,,Informations générales,
931,Cannes Radio,43.553314,7.025433,Cannes,https://www.cannesradio.com,Radio,,,Cannes / Nice,,Informations générales,
932,Champagne FM,49.260026,4.022367,Reims,https://www.champagnefm.com/,Radio,,1991,"Aisne, Ardennes, Aube, Haute-Marne, Marne",,,Groupe La Voix (Filiale du Groupe Rossel)
933,Collines FM,46.821467,-0.669149,Cerizay,https://www.collines-laradio.fr,Radio,,1991,Deux-Sèvres,,Informations générales,
934,Contact FM,50.636536,3.063201,Lille,https://www.mycontact.fr/,Radio,,1982,Nord - Pas de Calais,,,Groupe La Voix (Filiale du Groupe Rossel)
935,Contact FM,50.636332,3.063665,Lille,https://www.mycontact.fr/,Radio,,,Hauts de France,,Informations générales,
936,Delta FM,51.001804,2.116055,Gravelines,https://www.deltafm.fr,Radio,,1984,"Boulogne, Calais, Dunkerke, Saint-Omer",,Informations générales,
937,Demoiselle FM,45.949095,-0.94917,Rochefort,https://www.demoisellefm.com/,Radio,,1988,Charente Maritime,,Informations générales,
938,Direct FM,49.10935,6.161768,Metz,https://www.directfm.fr/,Radio,,2000,Lorraine (Metz + Nancy),,"Culture, Loisirs",
939,Echo FM,49.992775,4.13395,Anor,https://www.echo-fm.fr,Radio,,,"Sud-Avesnois, Thiérache, Laonnois (Saint-Quentin, Laon, Fourmies)",,Informations générales,
940,Evasion FM,48.623206,2.42318,Courcouronnes,https://www.evasionfm.com,Radio,,1983,"77 Seine-et-Marne, 91 Essonne, 28 Eure-et-Loir, 78 Yvelines",,Informations générales,HPI Groupe
941,Evasion Oise,49.240265,2.463577,Saint-Maximin,https://www.evasionfm.com/actualites-oise.html?version=oise,Radio,,,Oise,,Informations générales,HPI Groupe
942,Evasion Somme,49.891059,2.295229,Amiens,https://www.evasionfm.com/actualites-somme.html?version=somme,Radio,,,Somme,,Informations générales,HPI Groupe
943,FC Radio,45.851406,5.056149,Montluel,https://fcradio.fr/,Radio,,1981,Ain,,Informations générales,
944,Flash FM,45.836152,1.263606,Limoges,https://www.flashfm.fr/,Radio,,,Haute-Vienne,,Informations générales,
945,Flor FM,47.896856,7.224223,Soultz-Haut-Rhin,https://www.florfm.com/,Radio,,,Haut-Rhin,,Informations générales,
946,France Bleu Alsace,48.585298,7.755184,Strasbourg,https://www.francebleu.fr/alsace,Radio,https://www.francebleu.fr/img/station/logo/logo_francebleu_alsace.jpg,,,,Informations générales,Radio France
947,France Bleu Armorique,48.106053,-1.673171,Rennes,https://www.francebleu.fr/armorique,Radio,https://www.francebleu.fr/img/station/logo/logo_francebleu_armorique.jpg,,,,Informations générales,Radio France
948,France Bleu Auxerre,47.789848,3.564975,Auxerre,https://www.francebleu.fr/auxerre,Radio,https://www.francebleu.fr/img/station/logo/logo_francebleu_auxerre.jpg,,,,Informations générales,Radio France
