ID,Media,Latitude,Longitude,COMMUNE,Site_web,Support historique,logo,Annee_creation,Aire_couverture,EPCI_couverts,Thematique_principale,Groupe
1,Les actualités locales au cinéma,44.769264,1.509781,Reilhaguet,http://actualites-locales-au-cinema.fr/,Pure-player,,2013,Gourdon et Villefranche de Rouergue,,,
2,Contact magazine,47.324982,5.043742,Dijon,-,Presse,,,Dijon (Quartier des Grézilles),,,
3,Couac,45.436335,4.383998,Saint-Étienne,https://lenumerozero.lautre.net/-Couac,Presse,,2016,Saint-Etienne et agglo,,,
5,Gardarem Lo Larzac,44.057279,3.241798,La Roque-Sainte-Marguerite,http://larzac.org/accueil/echos-et-publications/gll-le-journal-du-larzac-solidaire/,Presse,,1975,Plateau du Larzac,,Info militante,
6,Haute Saintonge,45.444472,-0.438818,Jonzac,-,Presse,,,,,Informations générales,
7,Horizons Cent Ile-de-France,48.441488,1.515853,Chartres,http://www.horizons-journal.fr/,Presse,http://www.horizons-journal.fr/skin/default/img/logo.png,1990,"Eure-et-Loir, Loir-et-Cher, Seine-et-Marne, Île-de-France ouest",,Agriculture,Groupe Réussir
8,Îl(e)s,47.745768,-3.366877,Lorient,https://larevuedesiles.fr,Presse,,,,,,
9,Journal Tête de noeud,48.692365,6.182711,Nancy,https://www.facebook.com/pg/votezwillo/about/?ref=page_internal,Presse,,,Nancy et région,,Culture / Militant,
10,Kostar,47.212287,-1.550217,Nantes,https://www.kostar.fr,Presse,,,"44, 49, Bretagne",,"Culture, Loisirs",
11,L'agriculteur provençal,43.53307,5.440026,Aix-en-Provence,https://www.agriculteurprovencal.fr/,Presse,,,,,Agriculture,Groupe Réussir
12,L'Auxois Libre,47.490725,4.332919,Semur-en-Auxois,-,Presse,,,,,Informations générales,
13,L'Axonais,49.37842,3.331828,Soissons,-,Presse,,,,,Informations générales,
14,L'Echo d'Ancenis et du Vignoble,47.366333,-1.178625,Ancenis,https://actu.fr/l-echo-d-ancenis/,Presse,,1839,,,Informations générales,
15,L'Eclaireur du Gâtinais,47.99668,2.732749,Montargis,https://www.facebook.com/leclaireurdugatinais/,Presse,,,,,Informations générales,
16,L'Eure Agricole et Rurale,49.007998,1.173311,Guichainville,http://www.eure-agricole.fr/public/index.php,Presse,,,,,Agriculture,Groupe Réussir
17,L'Indépendant du Louhannais et du Jura,46.630104,5.221775,Louhans,https://www.facebook.com/LIndependantDuLouhannais/,Presse,,,,,Informations générales,
18,L'information agricole du Cher,47.104014,2.379542,Saint-Doulchard,https://www.cheragri.fr/,Presse,,,,,Agriculture,Groupe Réussir
19,L’Abeille,48.175509,6.442978,Épinal,https://sphr.fr/hebdo/labeille/,Presse,,,,,Informations générales,
20,L’Aurore du Bourbonnais,46.565952,3.333886,Moulins,https://www.auroredubourbonnais.fr/,Presse,,1944,Allier,,Informations générales,
21,L’Echo du Tarn,43.635253,1.482978,Toulouse,https://sphr.fr/hebdo/lecho-du-tarn/,Presse,,,,,Informations générales,SIPA Ouest-France
22,L’Indépendant de l’Yonne,48.199205,3.284682,Sens,https://independantdelyonne.com/,Presse,,,,,Informations générales,
23,La Canarde Sauvage,43.878132,5.661149,Reillanne,http://lacanardesauvage.free.fr/,Presse,,,,,,
24,La Feuille,44.392922,0.768117,Villeneuve-sur-Lot,http://lafeuille.info/,Presse,,1976,Lot et garonne,,"Enquête, satirique",
25,La feuille de Chou,48.58353,7.746735,Strasbourg,https://la-feuille-de-chou.fr,Presse,,,,,,
26,La Ficelle,45.77373,4.826064,Lyon,http://www.laficelle.com/,Presse,,2008,Lyon métropole,,"Histoire locale, patrimoine",
27,La Galipote,45.769832,3.286713,Vertaizon,https://galipote.jimdo.com/le-journal/,Presse,,1979,,,,
28,La Gazette de Thiers et Ambert,45.858288,3.549853,Thiers,-,Presse,,1815 (à verifier),,,Informations générales,Groupe La Montagne Centre-France
29,La lettre à Lulu,47.212185,-1.550063,Nantes,https://www.lalettrealulu.com/,Presse,,,,,"Enquête, satirique",
30,La Liberté de l’Yonne,47.795482,3.567802,Auxerre,-,Presse,,,,,Informations générales,
31,La Montagne des Hautes Pyrénées,43.072941,0.151591,Bagnères-de-Bigorre,-,Presse,,,,,Informations générales,
32,La semaine de l'Île-de-France (L'informateur de Seine et Oise),48.863834,2.342151﻿,Paris,-,Presse,,1935,91 + 78,,Economie,
33,La Voix du Sancerrois,47.340257,2.855212,Saint-Satur,-,Presse,,1978 (à verifier),,,Informations générales,Groupe La Montagne Centre-France
34,Le 18ème du mois,48.890382,2.347197,Paris,https://www.18dumois.info/,Presse,,,,,Informations générales,
35,Le Courrier du Loiret,48.172503,2.250363,Pithiviers,-,Presse,, 1790 (puis reprise en 1945),,,Informations générales,Groupe La Montagne Centre-France
36,Le Démocrate de l'Aisne,49.83427,3.910335,Vervins,-,Presse,,,,,Informations générales,
37,Le Journal de Gien,47.691208,2.62007,Gien,-,Presse,,1945,,,Informations générales,Groupe La Montagne Centre-France
38,Le journal de la Sologne,47.862332,1.899304,Olivet,http://journalsologne.canalblog.com/,Presse,,,,,Informations générales / investigation,
39,Le Magazine des Autres Possibles (MAP),47.210413,-1.549211,Nantes,https://lesautrespossibles.fr/,Presse,,,,,"Enquête, satirique",
40,Le Paysan Vigneron,45.689484,-0.325269,Cognac,-,Presse,,,,,Agriculture,
41,le Postillon,45.191252,5.697262,Fontaine,https://www.lepostillon.org,Presse,,2009,Grenoble,,,
42,Le Progrès Saint Affricain,43.958749,2.877672,Saint-Affrique,https://www.leprogresstaffricain.fr,Presse,,1910,Sud-Aveyron et Est du Tarn,,Informations générales,
43,Le Régional de Cosne et du Charitois,47.408739,2.923506,Cosne-Cours-sur-Loire,-,Presse,,,,,Informations générales,Groupe La Montagne Centre-France
44,Le Réveil du Vivarais,45.244091,4.668304,Annonay,https://www.facebook.com/reveilduvivarais/,Presse,,1944,,,Informations générales,Groupe La Montagne Centre-France
45,Le trou des combrailles,46.03592,2.62886,Vergheas,https://troudescombrailles.revolublog.com/creuse-c29099186,Presse,,,,,,
46,Les Affiches de la Haute Saône,47.685031,6.495577,Lure,-,Presse,,,,,Informations générales,
47,Les Infos Pays de Ploërmel,47.933042,-2.397501,Ploërmel,https://www.infosredon.fr,Presse,,,,,Informations générales,
48,Liberté Hebdo,50.629607,3.099033,Lille,https://libertehebdo.fr/,Presse,,,Hauts de France,,Informations générales,
49,Nantes Seniors,47.275847,-1.464075,Sainte-Luce-sur-Loire,-,Presse,,,Nantes métropole,,"Culture, Loisirs",Andegave Communication
50,Normandie Magazine,49.120043,-1.096685,Saint-Lô,https://www.normandie-magazine.fr/,Presse,,1982,Normandie,,Informations générales,Groupe La Manche Libre
51,Nouvelles Semaine,16.242999,-61.571139,Baie-Mahault,-,Presse,,,,,Informations générales,
52,Oise Hebdo,49.259798,2.454533,Montataire,https://www.oisehebdo.fr/,Presse,,,Oise,,Informations générales,
53,Oise Hebdo,49.418547,2.821973,Compiègne,https://www.oisehebdo.fr/,Presse,,,,,Informations générales,
54,Oise Hebdo,49.418547,2.821973,Compiègne,https://www.oisehebdo.fr/,Presse,,,Oise,,Informations générales,
55,Oise Hebdo,49.438532,2.107335,Beauvais,https://www.oisehebdo.fr/,Presse,,,Oise,,Informations générales,
56,Place Publique,47.217533,-1.558256﻿,Nantes,https://www.revue-placepublique.fr/,Presse,,,Agglos de Nantes et de Saint-Nazaire,,Informations générales,
57,Terres de Cognac,46.563204,0.422247,Mignaloux-Beauvoir,https://www.terresdecognac.fr,Presse,,,,,Agriculture,Groupe Réussir
59,Villeneuve-info,46.151626,-1.124833,La Rochelle,https://www.collectif-villeneuve.com/villeneuve-info/,Presse,,,"Quartiers de Villeneuve-les-Salines et du Petit Marseille, à la Rochelle",,Informations générales,
60,Voix du Gers,43.635253,1.482978,Toulouse,-,Presse,,,,,Informations générales,SIPA Ouest-France
61,Le Paysan Lorrain,48.695854,6.134882,Laxou,https://www.facebook.com/Paysan-Lorrain-236097887108782/,Presse,,,,,Agriculture,
62,Le Mensuel de Rennes,48.109814,-1.680436,Rennes,https://www.lemensuel.com/rennes,Presse,,2009,,,Informations générales,Groupe Le Télégramme
64,100% vosges,48.166351,6.446731,Épinal,https://www.centpourcent-vosges.fr/,Presse,,,Vosges,,"Culture, Loisirs",
65,20 Minutes,47.214779,-1.546491,Nantes,https://www.20minutes.fr/nantes/,Presse,https://upload.wikimedia.org/wikipedia/fr/thumb/3/33/Logo_20_Minutes.svg/langfr-160px-Logo_20_Minutes.svg.png,,,,Informations générales,Sipa Ouest-France / Groupe Rossel
66,20 Minutes,50.636019,3.068473,Lille,https://www.20minutes.fr/lille/,Presse,https://upload.wikimedia.org/wikipedia/fr/thumb/3/33/Logo_20_Minutes.svg/langfr-160px-Logo_20_Minutes.svg.png,,,,Informations générales,Sipa Ouest-France / Groupe Rossel
67,20 Minutes,48.586815,7.741281,Strasbourg,https://www.20minutes.fr/strasbourg/,Presse,https://upload.wikimedia.org/wikipedia/fr/thumb/3/33/Logo_20_Minutes.svg/langfr-160px-Logo_20_Minutes.svg.png,,,,Informations générales,Sipa Ouest-France / Groupe Rossel
68,20 Minutes,44.842216,-0.572054,Bordeaux,https://www.20minutes.fr/bordeaux/aquitaine/,Presse,https://upload.wikimedia.org/wikipedia/fr/thumb/3/33/Logo_20_Minutes.svg/langfr-160px-Logo_20_Minutes.svg.png,,,,Informations générales,Sipa Ouest-France / Groupe Rossel
69,20 Minutes,43.291324,5.377165,Marseille,https://www.20minutes.fr/marseille/,Presse,https://upload.wikimedia.org/wikipedia/fr/thumb/3/33/Logo_20_Minutes.svg/langfr-160px-Logo_20_Minutes.svg.png,,,,Informations générales,Sipa Ouest-France / Groupe Rossel
70,20 Minutes,45.755979,4.833047,Lyon,https://www.20minutes.fr/lyon/,Presse,https://upload.wikimedia.org/wikipedia/fr/thumb/3/33/Logo_20_Minutes.svg/langfr-160px-Logo_20_Minutes.svg.png,,,,Informations générales,Sipa Ouest-France / Groupe Rossel
71,20 Minutes,43.605376,1.445597,Toulouse,https://www.20minutes.fr/toulouse/,Presse,https://upload.wikimedia.org/wikipedia/fr/thumb/3/33/Logo_20_Minutes.svg/langfr-160px-Logo_20_Minutes.svg.png,,,,Informations générales,Sipa Ouest-France / Groupe Rossel
72,A Piazzetta,42.693145,9.452673,Bastia,https://www.apiazzetta.com,Presse,,2007,Corse,,Informations générales,
73,Agir à Lyon,45.750721,4.848882,Lyon,https://agiralyon.fr/,Presse,,2018,Lyon,,,
74,Agri 44,47.263272,-1.56644,Nantes,https://www.agri44.fr,Presse,,,,,Agriculture,Groupe Réussir
75,Agri 79 Informations,46.298789,-0.376326,Prahecq,https://www.agri79.com,Presse,,,,,Agriculture,Groupe Réussir
76,Agri Ardennes,49.771987,4.727372,Charleville-Mézières,-,Presse,,,,,Agriculture,Groupe Réussir
77,AgriBourgogne,47.234533,5.110126,Bretenière,https://www.agribourgogne.fr,Presse,,,"Nièvre, Yonne, Côte d'or",,Agriculture,Groupe Réussir
78,Agriculteur Normand,49.193112,-0.302801,Colombelles,https://www.agriculteur-normand.com,Presse,,,,,Agriculture,Groupe Réussir
79,Alpes et Midi,44.566119,6.097695,Gap,https://www.alpes-et-midi.fr,Presse,,,,,Informations générales,
80,Auvergne Agricole,45.758843,3.137232,Aubière,https://www.auvergne-agricole.com,Presse,,,,,Agriculture,Groupe Réussir
81,Bigre,47.209707,-1.549488,Nantes,https://www.bigre-magazine.fr/,Presse,,,"Nantes, Saint-Nazaire, la baule",,,
82,Boudu,43.602503,1.437773,Toulouse,https://www.boudulemag.com/,Presse,,2015,Toulouse,,,
83,Bourgogne Magazine,47.35112,5.031397,Fontaine-lès-Dijon,https://www.bourgognemagazine.com/,Presse,,,Bourgogne,,,
84,Bulletin d'Espalion,44.523838,2.766144,Espalion,https://www.bulletindespalion.fr,Presse,,,,,Informations générales,
85,Centre-Presse,46.584593,0.340676,Poitiers,https://www.centre-presse.fr/,Presse,,1958,,,,Groupe Nouvelle République
86,CNEWS Lyon plus,45.740841,4.81541,Lyon,https://www.lyonplus.com/,Presse,,,,,Informations générales,Ebra - Crédit Mutuel / Bolloré
87,Corse Matin,41.621181,8.972505,Sartène,https://www.corsematin.com/,Presse,,,,,Informations générales,Groupe La Provence
88,Corse Matin,42.116473,9.512736,Aléria,https://www.corsematin.com/,Presse,,,,,Informations générales,Groupe La Provence
89,Corse Matin,42.56653,8.75773,Calvi,https://www.corsematin.com/,Presse,,,,,Informations générales,Groupe La Provence
90,Corse Matin,41.920095,8.736571,Ajaccio,https://www.corsematin.com/,Presse,,,,,Informations générales,Groupe La Provence
91,Corse Matin,42.700129,9.449324,Bastia,https://www.corsematin.com/,Presse,,,,,Informations générales,Groupe La Provence
92,Corse Matin,41.589041,9.276357,Porto-Vecchio,https://www.corsematin.com/,Presse,,,,,Informations générales,Groupe La Provence
93,Corse Matin,42.307726,9.150372,Corte,https://www.corsematin.com/,Presse,,,,,Informations générales,Groupe La Provence
94,Côté Brest,48.389259,-4.488771,Brest,https://actu.fr/cote-brest/,Presse,,,,,Informations générales,SIPA Ouest-France
95,Côté Caen,49.184339,-0.373637,Caen,https://actu.fr/14actu/,Presse,,,,,Informations générales,SIPA Ouest-France
96,Côté Manche,49.114055,-1.092887,Saint-Lô,https://actu.fr/cote-manche/,Presse,,,,,Informations générales,SIPA Ouest-France
97,Côté Quimper,47.999831,-4.090079,Quimper,https://actu.fr/cote-quimper/,Presse,,,,,Informations générales,SIPA Ouest-France
98,Côté Rouen,49.442832,1.101763,Rouen,https://actu.fr/76actu/,Presse,,,,,Informations générales,SIPA Ouest-France
99,Courrier Français,44.876045,-0.559442,Bordeaux,https://www.courrier-francais.com,Presse,,,,,Informations générales,
100,Croix du Nord (Lille Actu),50.642077,3.057026,Lille,https://actu.fr/lille/,Presse,,,,,Informations générales,SIPA Ouest-France
101,Demain Vendée,46.871983,-1.017982,Les Herbiers,https://demain-vendee.fr,Presse,,,Vendée,,,
102,Dernières Nouvelles d'Alsace (DNA),48.477946,7.217674,Schirmeck,https://www.dna.fr/,Presse,https://cdn-files.prsmedia.fr/files/DNA/min/fr/images/v0/logo.gif,1877,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
103,Dernières Nouvelles d'Alsace (DNA),48.740952,7.363271,Saverne,https://www.dna.fr/,Presse,https://cdn-files.prsmedia.fr/files/DNA/min/fr/images/v0/logo.gif,1877,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
104,Dernières Nouvelles d'Alsace (DNA),48.246728,7.184886,Sainte-Marie-aux-Mines,https://www.dna.fr/,Presse,https://cdn-files.prsmedia.fr/files/DNA/min/fr/images/v0/logo.gif,1877,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
105,Dernières Nouvelles d'Alsace (DNA),48.543226,7.49249,Molsheim,https://www.dna.fr/,Presse,https://cdn-files.prsmedia.fr/files/DNA/min/fr/images/v0/logo.gif,1877,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
106,Dernières Nouvelles d'Alsace (DNA),47.750421,7.339295,Mulhouse,https://www.dna.fr/,Presse,https://cdn-files.prsmedia.fr/files/DNA/min/fr/images/v0/logo.gif,1877,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
107,Dernières Nouvelles d'Alsace (DNA),49.036388,7.944307,Wissembourg,https://www.dna.fr/,Presse,https://cdn-files.prsmedia.fr/files/DNA/min/fr/images/v0/logo.gif,1877,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
108,Dernières Nouvelles d'Alsace (DNA),48.815281,7.789776,Haguenau,https://www.dna.fr/,Presse,https://cdn-files.prsmedia.fr/files/DNA/min/fr/images/v0/logo.gif,1877,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
109,Dernières Nouvelles d'Alsace (DNA),48.605868,7.748396,Schiltigheim,https://www.dna.fr/,Presse,https://cdn-files.prsmedia.fr/files/DNA/min/fr/images/v0/logo.gif,1877,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
110,Dernières Nouvelles d'Alsace (DNA),48.259437,7.451786,Sélestat,https://www.dna.fr/,Presse,https://cdn-files.prsmedia.fr/files/DNA/min/fr/images/v0/logo.gif,1877,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
111,Dernières Nouvelles d'Alsace (DNA),48.076584,7.349749,Colmar,https://www.dna.fr/,Presse,https://cdn-files.prsmedia.fr/files/DNA/min/fr/images/v0/logo.gif,1877,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
112,Dernières Nouvelles d'Alsace (DNA),47.623892,7.237788,Altkirch,https://www.dna.fr/,Presse,https://cdn-files.prsmedia.fr/files/DNA/min/fr/images/v0/logo.gif,1877,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
113,Dernières Nouvelles d'Alsace (DNA),48.46294,7.483734,Obernai,https://www.dna.fr/,Presse,https://cdn-files.prsmedia.fr/files/DNA/min/fr/images/v0/logo.gif,1877,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
114,Dijon Beaune,47.35112,5.031397,Fontaine-lès-Dijon,https://www.dijonbeaunemag.fr/,Presse,,,Dijon,,,
115,Dijon Capitale,47.35112,5.031397,Fontaine-lès-Dijon,https://www.dijoncapitale.fr,Presse,,,Dijon,,,
116,Dordogne Libre,45.184184,0.717617,Périgueux,https://www.dordognelibre.fr,Presse,,1876,,,Informations générales,Groupe Sud-Ouest
117,Echo d’Ile de France,48.89624,2.514633,Le Raincy,https://www.echoidf.fr,Presse,,,,,Informations générales,Sogemédia
118,Eco de l'Ain,46.200697,5.199145,Saint-Denis-lès-Bourg,https://www.eco-ain.fr,Presse,,,,,Informations générales,
119,Eco Savoie Mont Blanc,45.642016,5.873105,Le Bourget-du-Lac,https://www.eco-savoie-mont-blanc.com,Presse,,,,,Informations générales,
120,Edith,47.904202,1.90678,Orléans,https://edith-magazine.com/,Presse,,,Orléans + Tours + Bordeaux,,Féminin,
121,En pays varois,43.560107,3.844409,Saint-Jean-de-Védas,https://www.enpaysvarois.fr,Presse,,,Var,,Agriculture,Groupe Réussir
122,Estuaire,47.277781,-2.205411,Saint-Nazaire,https://www.estuaire.org/,Presse,,,Agglo de Saint-Nazaire,,Informations générales,
123,27 actu,49.021743,1.151374,Évreux,https://www.actu.fr/27actu/,Presse,,,,,Informations générales,SIPA Ouest-France
124,Fragil,47.225014,-1.591085,Nantes,https://www.fragil.org/,Presse,,,,,,
125,France Mayotte,-12.782762,45.224794,Mamoudzou,https://www.linfokwezi.fr/france-mayotte/,Presse,,,Mayotte,,,Kwezi
126,Grabuge,47.21856492,-1.539633127208408,Nantes,https://www.grabugemag.com/,Presse,,,Nantes métropole,,"Culture, Loisirs",
127,Haut Anjou,47.82185,-0.708091,Château-Gontier,https://www.hautanjou.com/,Presse,,,,,Informations générales,
128,Haute Gironde,45.129537,-0.661554,Blaye,https://www.hautegironde.fr,Presse,,,"BLAYE, SAINT-ANDRÉ-DE-CUBZAC, BOURG SAINT-SAVIN, SAINT-CIERS-SUR-GIRONDE ",,Informations générales,
129,Haute Provence Info,43.831927,5.78164,Manosque,https://www.hauteprovenceinfo.com,Presse,,,,,Informations générales,
130,Hebdi,48.673716,7.813116,La Wantzenau,https://www.hebdi.com/,Presse,,,Alsace,,Informations générales / investigation,
131,Hebdo 39,46.672974,5.558422,Lons-le-Saunier,https://hebdo39.net/,Presse,,,Jura,,Informations générales,
132,Hebdo des Savoie,45.867344,5.942641,Rumilly,https://www.hebdo-des-savoie.com,Presse,,,,,Informations générales,
133,Info-éco,46.579817,0.348215,Poitiers,http://www.info-eco.fr/,Presse,http://www.info-eco.fr/wp-content/uploads/2020/01/logo-InfoecoGrand2-1.jpg,1999 (à verifier),,,,Groupe Public Média
134,IPNS,45.750302,1.938024,Faux-la-Montagne,https://www.journal-ipns.org/,Presse,,,Plateau des Millevaches,,Info militante,
135,Jondi,47.316542,5.039173,Dijon,https://jondi.fr/,Presse,,,,,,
136,Journal de la Corse,41.92499,8.735937,Ajaccio,https://www.jdcorse.fr/JDC2/,Presse,,,,,Informations générales,
137,Journal de Millau,44.099534,3.079023,Millau,https://www.journaldemillau.fr,Presse,,,,,Informations générales,
138,JUNKPAGE,44.837203,-0.57736,Bordeaux,https://journaljunkpage.tumblr.com/,Presse,,,Nouvelle Aquitaine,,"Culture, Loisirs",
139,L'Action Agricole Picarde,49.870947,2.303744,Amiens,https://www.action-agricole-picarde.com,Presse,,,,,Agriculture,Groupe Réussir
140,L'Action Républicaine,48.323458,0.820204,Nogent-le-Rotrou,https://www.actu.fr/l-action-republicaine/,Presse,,,,,Informations générales,SIPA Ouest-France
141,L'Affranchi de Chaumont,48.100873,5.144695,Chaumont,https://www.laffranchi.fr,Presse,,,,,Informations générales,
142,L'Agglorieuse,43.610004,3.879021,Montpellier,https://www.lagglorieuse.info,Presse,,,,,Informations générales,
143,L'Agriculteur Charentais,46.171449,-1.152045,La Rochelle,https://www.agriculteur-charentais.fr,Presse,,,,,Agriculture,Groupe Réussir
144,L'Agriculteur de l'Aisne,49.569042,3.627439,Laon,https://www.agriculteur-aisne.com,Presse,,1952,,,Agriculture,Groupe Réussir
145,L'Aisne nouvelle,49.846574,3.282,Saint-Quentin,https://www.aisnenouvelle.fr/,Presse,,1944,"L'Aisne ( le Saint-Quentinois, le Pays Chaunois, la Thiérache et une partie du Grand Laonnois)",,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
146,L'Aisne nouvelle,49.898963,3.627392,Guise,https://www.aisnenouvelle.fr/,Presse,,1944,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
147,L'Aisne nouvelle,49.654546,3.29277,Tergnier,https://www.aisnenouvelle.fr/,Presse,,1944,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
148,L'Allier Agricole,45.186956,5.718426,Grenoble,https://www.allier-agricole.fr,Presse,,,,,Agriculture,Groupe Réussir
149,L'Alsace,47.748815,7.310604,Mulhouse,https://www.lalsace.fr/,Presse,https://cdn-files.prsmedia.fr/files/ALS/min/fr/images/v0/logo.png,1944,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
150,L'Alsace,47.623019,7.23637,Altkirch,https://www.lalsace.fr/,Presse,https://cdn-files.prsmedia.fr/files/ALS/min/fr/images/v0/logo.png,1944,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
151,L'Alsace,48.585049,7.747956,Strasbourg,https://www.lalsace.fr/,Presse,https://cdn-files.prsmedia.fr/files/ALS/min/fr/images/v0/logo.png,1944,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
152,L'Alsace,47.810513,7.103117,Thann,https://www.lalsace.fr/,Presse,https://cdn-files.prsmedia.fr/files/ALS/min/fr/images/v0/logo.png,1944,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
153,L'Alsace,48.258676,7.451999,Sélestat,https://www.lalsace.fr/,Presse,https://cdn-files.prsmedia.fr/files/ALS/min/fr/images/v0/logo.png,1944,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
154,L'Alsace,48.076584,7.349749,Colmar,https://www.lalsace.fr/,Presse,https://cdn-files.prsmedia.fr/files/ALS/min/fr/images/v0/logo.png,1944,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
155,L'Alsace,47.909898,7.210579,Guebwiller,https://www.lalsace.fr/,Presse,https://cdn-files.prsmedia.fr/files/ALS/min/fr/images/v0/logo.png,1944,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
156,L'Alsace,47.586452,7.564551,Saint-Louis,https://www.lalsace.fr/,Presse,https://cdn-files.prsmedia.fr/files/ALS/min/fr/images/v0/logo.png,1944,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
157,L'Ami des Foyers Chrétiens Hebdo,48.584736,7.745727,Strasbourg,https://www.ami-hebdo.com,Presse,,,,,Informations générales,
158,L'ami du 20ème,48.874437,2.403139,Paris,https://lamidu20eme.free.fr,Presse,,1945,Paris 20ème arrondissement,,Informations générales,
159,L'Angérien Libre,45.942,-0.518851,Saint-Jean-d'Angély,https://www.langerienlibre.fr,Presse,,,,,Informations générales,
160,L'Anjou Agricole,47.480809,-0.544017,Angers,https://www.anjou-agricole.com/public/index.php,Presse,,,Maine et Loire,,Agriculture,Groupe Réussir
161,L'apostille,4.943514,-52.31865,Cayenne,https://www.lapostille.fr/,Presse,,,Guyane,,Economie,
162,L'Avenir,46.579817,0.348215,Poitiers,https://www.lavenir-hebdo.fr/,Presse,,,Pays Ruffecois,,Informations générales,Groupe Public Média
163,L'Avenir Agricole et Rurale de Haute-Marne,48.126446,5.143254,Chaumont,https://www.avenir52.com,Presse,,,,,Agriculture,Groupe Réussir
164,L'Avenir Côte d'Azur,43.556242,7.017107,Cannes,https://www.avenir-cotedazur.com,Presse,,,,,Informations générales,
170,L'Echo - Le régional,49.048913,2.094188,Pontoise,https://actu.fr/la-gazette-du-val-d-oise/,Presse,,,,,Informations générales,SIPA Ouest-France
171,L'Echo de Brou,48.209148,1.169066,Brou,https://www.lechodebrou.fr,Presse,,,,,Informations générales,
172,L'Echo de l'Argoat,48.559846,-3.148095,Guingamp,https://actu.fr/echo-argoat/,Presse,,,,,Informations générales,SIPA Ouest-France
175,L'Echo de la Presqu'île,47.338263,-2.423158,Guérande,https://www.actu.fr/l-echo-de-la-presqu-ile/,Presse,,,,,Informations générales,SIPA Ouest-France
176,L'Echo de Vibraye,48.06021,0.734459,Vibraye,https://www.lecho-de-vibraye.fr,Presse,,,,,Informations générales,
177,L'echo des collines,44.857951,-0.512634,Cenon,https://www.echodescollines.fr/,Presse,,1998,"Rive droite de l'agglo bordelaise (Cenon, Lormont, Bassens, Floirac)",,,
178,L'Echo des Vosges,48.175509,6.442978,Épinal,https://www.echo-des-vosges.fr/,Presse,,1935,Vosges,,Informations générales,
179,L'Echo Drôme Ardèche,44.92982,4.89199,Valence,https://www.echo-drome-ardeche.com,Presse,,,,,Informations générales,
180,L'Echo du Berry,46.581688,1.987645,La Châtre,https://www.echoduberry.fr,Presse,,,,,Informations générales,Sogemedia / La Manche Libre
181,L'echo du mardi - Les petites affiches de Vaucluse,43.944141,4.805345,Avignon,https://www.pa84.fr/,Presse,,1839,Vaucluse,,Economie,
